Test(0);NodesCount: 768;ChanceToJoin: 72;IsPlanar: True;DistanceBetweenPoints: 73
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0096117;309;27;28
AStar;00:00:00.0225289;101;17;28
DIJKSTRA;00:00:00.0180702;301;28;28
RandomizedWalk;00:00:00.1315033;444;0;30
RandomizedDFS;00:00:00.0078623;197;31;34
BidirectionalBFS;00:00:00.1397250;92;18;28
BidirectionalDFS;00:00:00.1378025;56;15;30
DFS;00:00:00.0081042;692;90;158
;;;;
Test(1);NodesCount: 1018;ChanceToJoin: 75;IsPlanar: True;DistanceBetweenPoints: 100
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0068956;686;25;79
AStar;00:00:00.0198729;463;42;79
DIJKSTRA;00:00:00.0138122;673;25;79
RandomizedWalk;00:00:00.2792540;632;0;107
RandomizedDFS;00:00:00.0096422;426;86;179
BidirectionalBFS;00:00:00.2892226;688;37;79
BidirectionalDFS;00:00:00.2855194;436;57;137
DFS;00:00:00.0062708;583;81;161
;;;;
Test(2);NodesCount: 632;ChanceToJoin: 58;IsPlanar: True;DistanceBetweenPoints: 44
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0048972;463;28;37
AStar;00:00:00.0070148;181;21;37
DIJKSTRA;00:00:00.0094279;448;27;37
RandomizedWalk;00:00:00.1761950;537;0;39
RandomizedDFS;00:00:00.0026723;120;41;101
BidirectionalBFS;00:00:00.1733344;225;28;37
BidirectionalDFS;00:00:00.1714633;269;48;103
DFS;00:00:00.0040040;395;68;209
;;;;
Test(3);NodesCount: 738;ChanceToJoin: 37;IsPlanar: True;DistanceBetweenPoints: 88
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0062166;649;29;56
AStar;00:00:00.0092121;248;25;56
DIJKSTRA;00:00:00.0119312;622;28;56
RandomizedWalk;00:00:00.1481300;644;0;108
RandomizedDFS;00:00:00.0122256;602;71;146
BidirectionalBFS;00:00:00.1507104;412;40;56
BidirectionalDFS;00:00:00.1458319;581;58;114
DFS;00:00:00.0062530;628;52;166
;;;;
Test(4);NodesCount: 718;ChanceToJoin: 73;IsPlanar: True;DistanceBetweenPoints: 58
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0046844;537;30;31
AStar;00:00:00.0075022;180;27;31
DIJKSTRA;00:00:00.0101131;509;29;31
RandomizedWalk;00:00:00.5645620;714;0;45
RandomizedDFS;00:00:00.0108791;531;115;191
BidirectionalBFS;00:00:00.5613337;258;41;31
BidirectionalDFS;00:00:00.5576982;225;63;77
DFS;00:00:00.0013803;150;61;111
;;;;
Test(5);NodesCount: 789;ChanceToJoin: 43;IsPlanar: True;DistanceBetweenPoints: 58
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0013114;183;15;33
AStar;00:00:00.0016157;77;17;33
DIJKSTRA;00:00:00.0023696;174;15;33
RandomizedWalk;00:00:00.0240767;207;0;47
